,word,pos,dependency_label,id,parent,EOS
153,on,IN,case,20,22,0
154,the,DT,det,21,22,0
155,timeline,NN,obl,22,19,0
156,and,CC,cc,23,25,0
157,hit,VB,amod,24,25,0
158,paste,NN,conj,25,17,0
159,it,PRP,nsubj,26,28,0
160,just,RB,advmod,27,28,0
161,rehighlights,VBZ,acl:relcl,28,25,0
162,the,DT,det,29,30,0
163,event,NN,obj,30,28,1
164,i,PRP,nsubj,0,2,0
165,was,VBD,aux,1,2,0
166,trying,VBG,root,2,-1,0
167,to,TO,mark,3,4,0
168,duplicate,VB,xcomp,4,2,1
169,i,PRP,nsubj,0,1,0
170,think,VBP,root,1,-1,0
171,it,PRP,nsubj,2,3,0
172,duplicates,VBZ,ccomp,3,1,0
173,in,IN,case,4,8,0
174,that,DT,det,5,8,0
175,exact,JJ,amod,6,8,0
176,physical,JJ,amod,7,8,0
177,location,NN,obl,8,3,1
178,see,VB,root,0,-1,0
179,if,IN,mark,1,4,0
180,it,PRP,nsubj:pass,2,4,0
181,is,VBZ,aux:pass,3,4,0
182,stacked,VBN,advcl,4,-10,0
183,on,IN,case,5,7,0
184,other,JJ,amod,6,7,0
185,one,CD,obl,7,4,1
186,i,PRP,nsubj,0,1,0
187,tried,VBD,root,1,-1,0
188,to,TO,mark,2,3,0
189,click,VB,xcomp,3,1,0
190,on,IN,case,4,7,0
191,the,DT,det,5,7,0
192,top,NN,amod,6,7,0
193,one,NN,obl,7,3,0
194,and,CC,cc,8,9,0
195,change,VB,conj,9,3,0
196,the,DT,det,10,11,0
197,date,NN,obj,11,9,0
198,and,CC,cc,12,13,0
199,time,NN,conj,13,11,0
200,but,CC,cc,14,20,0
201,if,IN,mark,15,18,0
202,it,PRP,nsubj,16,18,0
203,is,VBZ,aux,17,18,0
204,stacking,VBG,advcl,18,20,0
205,it,PRP,nsubj,19,20,0
206,moves,VBZ,conj,20,1,0
207,the,DT,det,21,23,0
208,entire,JJ,amod,22,23,0
209,stack,NN,obj,23,20,0
210,to,IN,case,24,26,0
211,that,DT,det,25,26,0
212,location,NN,obl,26,20,0
213,then,RB,advmod,27,1,1
214,hmm,UH,nsubj,0,1,0
215,guess,NN,root,1,-1,0
216,u,PRP,nsubj,2,4,0
217,may,MD,aux,3,4,0
218,have,VB,parataxis,4,1,0
219,to,TO,mark,5,6,0
220,recreate,VB,xcomp,6,4,0
221,it,PRP,obj,7,6,0
222,then,RB,advmod,8,6,1
223,wait,VB,root,0,-1,0
224,i,PRP,nsubj,1,2,0
225,remember,VBP,parataxis,2,-10,0
226,how,WRB,advmod,3,2,1
227,ok,UH,root,0,-1,0
228,not,RB,advmod,1,3,0
229,a,DT,det,2,3,0
230,problem,NN,obl,3,-10,0
231,just,RB,advmod,4,5,0
232,checking,VBG,acl,5,3,1
233,u,DT,det,0,1,0
234,copy,NN,nsubj,1,13,0
235,it,PRP,obj,2,1,0
236,to,IN,case,3,6,0
237,a,DT,det,4,6,0
238,new,JJ,amod,5,6,0
239,chart,NN,nmod,6,1,0
240,",",",",punct,7,8,0
241,change,VB,conj,8,1,0
242,the,DT,det,9,10,0
243,identity,NN,obj,10,8,0
244,",",",",punct,11,13,0
245,then,RB,advmod,12,13,0
246,copy,VB,root,13,-1,0
247,it,PRP,obj,14,13,0
248,back,RB,advmod,15,13,0
249,into,IN,case,16,18,0
250,your,PRP$,nmod:poss,17,18,0
251,chart,NN,obl,18,13,1
252,ok,UH,discourse,0,3,0
253,i,PRP,nsubj,1,3,0
254,'ll,MD,aux,2,3,0
255,give,VB,root,3,-1,0
256,that,IN,det,4,6,0
257,a,DT,det,5,6,0
258,shot,NN,obj,6,3,0
259,thank,VBP,acl,7,6,0
260,u,DT,obj,8,7,1
261,yup,CC,root,0,-1,1
262,yep,UH,discourse,0,2,0
263,that,DT,nsubj,1,2,0
264,worked,VBD,root,2,-1,0
265,if,IN,mark,3,9,0
266,the,DT,det,4,6,0
267,time,NN,compound,5,6,0
268,increments,NNS,nsubj,6,9,0
269,are,VBP,cop,7,9,0
270,to,TO,mark,8,9,0
271,close,VB,advcl,9,2,0
272,and,CC,cc,10,12,0
273,it,PRP,nsubj,11,12,0
274,stacks,VBZ,conj,12,2,0
275,the,DT,det,13,14,0
276,events,NNS,obj,14,12,0
277,on,IN,case,15,16,0
278,top,NN,nmod,16,14,0
279,of,IN,case,17,19,0
280,each,DT,det,18,19,0
281,other,NN,nmod,19,16,0
282,how,WRB,advmod,20,23,0
283,do,VBP,aux,21,23,0
284,u,PRP,nsubj,22,23,0
285,spread,VB,parataxis,23,12,0
286,them,PRP,obj,24,23,0
287,out,RP,compound:prt,25,23,0
288,?,.,punct,26,2,1
289,got,VBD,root,0,-1,0
290,it,PRP,obj,1,-10,0
291,you,PRP,nsubj,2,3,0
292,have,VBP,ccomp,3,-10,0
293,to,TO,mark,4,5,0
294,drag,VB,xcomp,5,3,0
295,with,IN,case,6,8,0
296,the,DT,det,7,8,0
297,arrow,NN,obl,8,5,0
298,not,RB,advmod,9,11,0
299,the,DT,det,10,11,0
300,hand,NN,obl,11,5,1
301,yes,UH,discourse,0,2,0
302,or,CC,cc,1,2,0
303,unpinned,VB,root,2,-1,0
304,them,PRP,obj,3,2,1
305,question,NN,root,0,-1,0
306,when,WRB,mark,1,3,0
307,there,EX,expl,2,3,0
308,are,VBP,advcl,3,9,0
309,two,CD,nummod,4,5,0
310,people,NNS,nsubj,5,3,0
311,arguing,VBG,acl,6,5,0
312,would,MD,aux,7,9,0
313,you,PRP,nsubj,8,9,0
314,show,VB,parataxis,9,-10,0
315,two,CD,nummod,10,13,0
316,different,JJ,amod,11,13,0
317,event,NN,compound,12,13,0
318,bubbles,NNS,obj,13,9,0
319,and,CC,cc,14,15,0
320,link,VB,conj,15,9,0
321,them,PRP,obj,16,15,0
322,together,RB,advmod,17,15,0
323,with,IN,case,18,20,0
324,the,DT,det,19,20,0
325,description,NN,obl,20,15,0
326,of,IN,case,21,23,0
327,the,DT,det,22,23,0
328,event,NN,nmod,23,20,1
329,an,DT,det,0,1,0
330,argument,NN,nsubj,1,4,0
331,is,VBZ,cop,2,4,0
332,one,CD,nummod,3,4,0
333,event,NN,root,4,-1,0
334,with,IN,case,5,13,0
335,two,CD,nummod,6,13,0
336,or,CC,cc,7,8,0
337,more,JJR,conj,8,6,0
338,involved,JJ,amod,9,13,0
339,(,-LRB-,punct,10,13,0
340,linked,VBN,amod,11,13,0
341,),-RRB-,punct,12,13,0
342,subjects,NNS,nmod,13,4,1
343,last,JJ,amod,0,1,0
344,dance,NN,root,1,-1,0
345,with,IN,case,2,4,0
346,mary,NN,amod,3,4,0
347,jane,NN,nmod,4,1,0
348,tonight,NN,nmod:tmod,5,1,0
349,",",",",punct,6,1,0
350,u,PRP,nsubj,7,12,0
351,in,RB,advmod,8,7,0
352,?,.,punct,9,7,0
353,got,NNP,nsubj,10,12,0
354,ta,NNP,flat,11,10,0
355,pass,VB,parataxis,12,1,0
356,a,DT,det,13,15,0
357,piss,NN,compound,14,15,0
358,test,NN,obj,15,12,0
359,in,IN,case,16,19,0
360,a,DT,det,17,19,0
361,couple,NN,compound,18,19,0
362,months,NNS,obl,19,12,0
363,so,RB,advmod,20,23,0
364,this,DT,nsubj,21,23,0
365,be,VBP,cop,22,23,0
366,it,PRP,parataxis,23,12,0
367,for,IN,case,24,25,0
368,while,IN,obl,25,23,1
369,people,NNS,nsubj,0,4,0
370,should,MD,aux,1,4,0
371,not,RB,advmod,2,4,0
372,be,VB,cop,3,4,0
373,events,NNS,root,4,-1,1
374,he,PRP,nsubj:pass,0,3,0
375,should,MD,aux,1,3,0
376,be,VB,aux:pass,2,3,0
377,entered,VBN,root,3,-1,0
378,as,IN,case,4,7,0
379,a,DT,det,5,7,0
380,regular,JJ,amod,6,7,0
381,entity,NN,obl,7,3,1
382,so,RB,advmod,0,14,0
383,when,WRB,mark,1,3,0
384,it,PRP,nsubj,2,3,0
385,shows,VBZ,advcl,3,14,0
386,me,PRP,iobj,4,3,0
387,the,DT,det,5,7,0
388,male,JJ,amod,6,7,0
389,figure,NN,obj,7,3,0
390,or,CC,cc,8,10,0
391,female,JJ,amod,9,10,0
392,figure,NN,conj,10,7,0
393,i,PRP,nsubj,11,14,0
394,should,MD,aux,12,14,0
395,nt,RB,advmod,13,14,0
396,use,VB,root,14,-1,0
397,that,DT,obj,15,14,0
398,?,.,punct,16,14,0
399,what,WP,obj,17,20,0
400,should,MD,aux,18,20,0
401,i,PRP,nsubj,19,20,0
402,use,VB,parataxis,20,14,0
403,?,.,punct,21,14,1
404,yes,UH,discourse,0,14,0
405,",",",",punct,1,14,0
406,but,CC,cc,2,14,0
407,if,IN,mark,3,5,0
408,u,PRP,nsubj,4,5,0
409,look,VBP,advcl,5,14,0
410,at,IN,case,6,7,0
411,tabs,NNS,obl,7,5,0
412,the,DT,det,8,9,0
413,male,NN,nsubj,9,14,0
414,and,CC,cc,10,11,0
415,female,NN,conj,11,9,0
416,can,MD,aux,12,14,0
417,be,VB,cop,13,14,0
418,events,NNS,root,14,-1,0
419,or,CC,cc,15,18,0
420,other,JJ,amod,16,18,0
421,entity,NN,compound,17,18,0
422,types,NNS,conj,18,14,1
423,there,EX,expl,0,1,0
424,are,VBP,root,1,-1,0
425,tabs,NNS,nsubj,2,1,0
426,above,IN,case,3,5,0
427,the,DT,det,4,5,0
428,icons,NNS,nmod,5,2,1
429,ok,UH,discourse,0,4,0
430,so,RB,advmod,1,4,0
431,can,MD,aux,2,4,0
432,i,PRP,nsubj,3,4,0
433,make,VB,root,4,-1,0
434,the,DT,det,5,7,0
435,main,JJ,amod,6,7,0
436,person,NN,obj,7,4,0
437,the,DT,det,8,9,0
438,event,NN,nmod:npmod,9,7,0
439,and,CC,cc,10,13,0
440,then,RB,advmod,11,13,0
441,just,RB,advmod,12,13,0
442,add,VB,conj,13,4,0
443,the,DT,det,14,15,0
444,associate,NN,obj,15,13,0
445,under,IN,case,16,17,0
446,it,PRP,obl,17,13,0
447,almost,RB,advmod,18,22,0
448,like,IN,mark,19,22,0
449,it,PRP,nsubj,20,22,0
450,is,VBZ,cop,21,22,0
451,now,RB,advmod,22,13,0
452,but,CC,cc,23,24,0
453,change,VB,conj,24,13,0
454,the,DT,det,25,26,0
455,event,NN,obj,26,24,0
456,below,RB,advmod,27,24,0
457,to,IN,case,28,30,0
458,a,DT,det,29,30,0
459,associate,NN,obl,30,24,0
460,?,.,punct,31,4,1
461,no,DT,advmod,0,4,0
462,i,PRP,nsubj,1,4,0
463,would,MD,aux,2,4,0
464,only,RB,advmod,3,4,0
465,make,VB,root,4,-1,0
466,incidents,NNS,compound,5,6,0
467,events,NNS,obj,6,4,1
468,make,VB,root,0,-1,0
469,people,NNS,obj,1,-10,0
470,standard,JJ,amod,2,3,0
471,entities,NNS,obj,3,-10,0
472,and,CC,cc,4,5,0
473,link,VB,conj,5,-10,0
474,them,PRP,obj,6,5,0
475,to,IN,case,7,8,0
476,events,NNS,obl,8,5,1
477,regular,JJ,amod,0,1,0
478,entities,NNS,nsubj,1,4,0
479,do,VBP,aux,2,4,0
480,n't,RB,advmod,3,4,0
481,appear,VB,root,4,-1,0
482,in,IN,case,5,6,0
483,squares,NNS,obl,6,4,1
484,u,DT,nsubj,0,2,0
485,only,RB,advmod,1,2,0
486,see,VB,root,2,-1,0
487,the,DT,det,3,4,0
488,icon,NN,obj,4,2,1
489,because,IN,mark,0,4,0
490,people,NNS,nsubj:pass,1,4,0
491,will,MD,aux,2,4,0
492,be,VB,aux:pass,3,4,0
493,linked,VBN,root,4,-1,0
494,to,IN,case,5,7,0
495,multiple,JJ,amod,6,7,0
496,events,NNS,obl,7,4,1
497,ok,UH,discourse,0,5,0
498,so,RB,advmod,1,5,0
499,i,PRP,nsubj,2,5,0
500,should,MD,aux,3,5,0
501,n't,RB,advmod,4,5,0
502,make,VB,root,5,-1,0
503,the,DT,det,6,7,0
504,events,NNS,obj,7,5,0
505,with,IN,case,8,9,0
506,people,NNS,nmod,9,7,0
507,how,WRB,advmod,10,13,0
508,should,MD,aux,11,13,0
509,i,PRP,nsubj,12,13,0
510,represent,VB,parataxis,13,5,0
511,the,DT,det,14,16,0
512,event,NN,compound,15,16,0
513,title,NN,obj,16,13,0
514,and,CC,cc,17,18,0
515,photo,NN,conj,18,16,0
516,?,.,punct,19,13,0
517,do,VBP,aux,20,22,0
518,u,PRP,nsubj,21,22,0
519,have,VB,parataxis,22,13,0
520,a,DT,det,23,24,0
521,example,NN,obj,24,22,0
522,that,WDT,obj,25,28,0
523,i,PRP,nsubj,26,28,0
524,can,MD,aux,27,28,0
525,look,VB,acl:relcl,28,24,0
526,off,IN,case,29,30,0
527,of,IN,obl,30,28,0
528,to,TO,mark,31,32,0
529,get,VB,advcl,32,28,0
530,an,DT,det,33,34,0
531,idea,NN,obj,34,32,0
532,?,.,punct,35,5,1
533,ok,UH,root,0,-1,1
534,or,CC,cc,0,3,0
535,u,PRP,nsubj,1,3,0
536,can,MD,aux,2,3,0
537,make,VB,root,3,-1,0
538,him,PRP,iobj,4,3,0
539,a,DT,det,5,6,0
540,timeline,NN,obj,6,3,0
541,if,IN,mark,7,10,0
542,he,PRP,nsubj:pass,8,10,0
543,is,VBZ,aux:pass,9,10,0
544,linked,VBN,advcl,10,3,0
545,to,IN,case,11,14,0
546,all,PDT,det:predet,12,14,0
547,the,DT,det,13,14,0
548,events,NNS,obl,14,10,1
549,ok,UH,discourse,0,5,0
550,so,RB,advmod,1,5,0
551,i,PRP,nsubj,2,5,0
552,should,MD,aux,3,5,0
553,just,RB,advmod,4,5,0
554,make,VB,root,5,-1,0
555,one,CD,nummod,6,7,0
556,associate,NN,obj,7,5,0
557,and,CC,cc,8,9,0
558,link,VB,conj,9,5,0
559,then,RB,advmod,10,9,0
560,to,IN,case,11,15,0
561,all,PDT,det:predet,12,15,0
562,the,DT,det,13,15,0
563,different,JJ,amod,14,15,0
564,events,NNS,obl,15,9,1
565,hang,VB,root,0,-1,0
566,on,RB,advmod,1,-10,1
567,not,RB,advmod,0,1,0
568,quite,RB,advmod,1,2,0
569,all,DT,root,2,-1,0
570,of,IN,case,3,4,0
571,them,PRP,nmod,4,2,1
572,ok,UH,root,0,-1,1
573,ok,UH,root,0,-1,1
574,do,VBP,aux,0,2,0
575,u,PRP,nsubj,1,2,0
576,have,VB,root,2,-1,0
577,a,DT,det,3,4,0
578,account,NN,obj,4,2,0
579,that,WDT,obj,5,8,0
580,i,PRP,nsubj,6,8,0
581,can,MD,aux,7,8,0
582,use,VB,acl:relcl,8,4,0
583,?,.,punct,9,2,1
584,ok,UH,root,0,-1,1
585,click,VB,root,0,-1,0
586,add,NN,compound,1,2,0
587,computer,NN,obj,2,-10,1
588,install,JJ,amod,0,1,0
589,software,NN,root,1,-1,1
590,tell,VB,root,0,-1,0
591,me,PRP,obj,1,-10,0
592,when,WRB,mark,2,3,0
593,ready,JJ,advcl,3,-10,1
594,almost,RB,root,0,-1,1
595,alright,NNP,root,0,-1,1
596,it,PRP,expl,0,1,0
597,says,VBZ,root,1,-1,0
598,no,DT,det,2,4,0
599,remote,JJ,amod,3,4,0
600,users,NNS,nsubj:pass,4,6,0
601,are,VBP,aux:pass,5,6,0
602,connected,VBN,ccomp,6,1,1
603,i,PRP,nsubj,0,1,0
604,need,VBP,root,1,-1,0
605,ur,RP,nmod:poss,2,3,0
606,login,NN,obj,3,1,0
607,password.,.,punct,4,3,0
608,for,IN,case,5,7,0
609,security,NN,compound,6,7,0
610,reasons,NNS,nmod,7,3,0
611,",",",",punct,8,1,0
612,u,PRP,nsubj,9,12,0
613,can,MD,aux,10,12,0
614,temporarily,RB,advmod,11,12,0
615,change,VB,parataxis,12,1,0
616,it,PRP,obj,13,12,0
617,by,IN,case,14,15,0
618,ctrl,NN,obl,15,12,0
619,alt,DT,det,16,17,0
620,del,NN,nmod:tmod,17,15,1
621,change,VB,root,0,-1,0
622,it,PRP,obj,1,-10,0
623,to,TO,mark,2,3,0
624,temp,VB,advcl,3,-10,0
625,pw,NN,obj,4,3,0
626,then,RB,advmod,5,6,0
627,give,VB,parataxis,6,-10,0
628,me,PRP,obj,7,6,0
629,it,PRP,xcomp,8,6,1
630,i,PRP,nsubj,0,2,0
631,'ve,VBP,aux,1,2,0
632,given,VBN,root,2,-1,0
633,u,NN,obj,3,2,0
634,his,PRP$,nmod:poss,4,5,0
635,email,NN,xcomp,5,2,0
636,before,RB,advmod,6,5,0
637,",",",",punct,7,2,0
638,on,IN,case,8,9,0
639,march,NN,obl,9,2,0
640,3rd,NN,nummod,10,9,0
641,to,TO,mark,11,13,0
642,be,VB,cop,12,13,0
643,exact,JJ,advcl,13,2,1
644,i,PRP,nsubj,0,1,0
645,found,VBD,root,1,-1,0
646,email,NN,obj,2,1,0
647,mentioning,VBG,acl,3,2,0
648,him,PRP,obj,4,3,0
649,but,CC,cc,5,8,0
650,ca,MD,aux,6,8,0
651,n't,RB,advmod,7,8,0
652,find,VB,conj,8,1,0
653,his,PRP$,nmod:poss,9,10,0
654,email,NN,obj,10,8,0
655,lol,UH,discourse,11,1,1
656,no,DT,det,0,1,0
657,worrys,NNS,root,1,-1,0
658,i,PRP,nsubj,2,4,0
659,'ll,MD,aux,3,4,0
660,look,VB,acl:relcl,4,1,0
661,again,RB,advmod,5,4,0
662,for,IN,case,6,7,0
663,it,PRP,obl,7,4,1
664,just,RB,advmod,0,1,0
665,sent,VBN,root,1,-1,0
666,to,IN,case,2,3,0
667,u,NN,obl,3,1,0
668,as,IN,case,4,6,0
669,outlook,NN,compound,5,6,0
670,contact,NN,obl,6,1,1
671,thank,VBP,root,0,-1,0
672,u,PRP,nsubj,1,2,0
673,sir,VB,ccomp,2,-10,1
674,i,PRP,nsubj,0,2,0
675,never,RB,advmod,1,2,0
676,emailed,VBD,root,2,-1,0
677,it,PRP,obj,3,2,0
678,to,IN,case,4,5,0
679,u,PRP,obl,5,2,0
680,before,RB,advmod,6,2,0
681,",",",",punct,7,2,0
682,i,PRP,nsubj,8,9,0
683,wrote,VBD,parataxis,9,2,0
684,down,RP,compound:prt,10,9,0
685,his,PRP$,nmod:poss,11,12,0
686,number,NN,obj,12,9,0
687,lol,UH,discourse,13,2,1
688,just,RB,advmod,0,1,0
689,found,VBD,root,1,-1,0
690,email,NN,obj,2,1,0
691,where,WRB,mark,3,5,0
692,i,PRP,nsubj,4,5,0
693,mention,VBP,advcl,5,1,0
694,his,PRP$,nmod:poss,6,7,0
695,name,NN,obj,7,5,0
696,but,CC,cc,8,11,0
697,no,DT,det,9,11,0
698,contact,NN,compound,10,11,0
699,info,NN,conj,11,7,1
700,wan,VB,root,0,-1,0
701,na,TO,nsubj,1,2,0
702,snort,VB,xcomp,2,-10,0
703,a,DT,det,3,4,0
704,line,NN,obj,4,2,0
705,w,NN,xcomp,5,2,0
706,/,",",case,6,7,0
707,me,NN,nmod,7,5,0
708,?,.,punct,8,-10,1
709,ahh,UH,discourse,0,1,0
710,ic,IN,root,1,-1,1
711,yup,CC,root,0,-1,0
712,lol,UH,discourse,1,-10,1
713,what,WDT,det,0,1,0
714,time,NN,nsubj,1,4,0
715,will,MD,aux,2,4,0
716,u,VB,det,3,4,0
717,b,VB,root,4,-1,0
718,here,RB,advmod,5,4,0
719,for,IN,case,6,7,0
720,dinner,NN,obl,7,4,1
721,when,WRB,mark,0,3,0
722,tim,NN,nsubj:pass,1,3,0
723,is,VBZ,aux:pass,2,3,0
724,done,VBN,advcl,3,11,0
725,working,VBG,advcl,4,3,0
726,on,IN,case,5,8,0
727,ur,PRP$,nmod:poss,6,8,0
728,roommates,NNS,compound,7,8,0
729,car,NN,obl,8,4,0
730,we,PRP,nsubj,9,11,0
731,r,VBP,aux,10,11,0
732,coming,VBG,root,11,-1,0
733,over,RB,advmod,12,11,0
734,together,RB,advmod,13,11,1
735,if,IN,mark,0,2,0
736,she,PRP,nsubj,1,2,0
737,needs,VBZ,advcl,2,12,0
738,it,PRP,obj,3,2,0
739,done,JJ,xcomp,4,2,0
740,with,IN,case,5,6,0
741,someone,NN,obl,6,2,0
742,else,JJ,amod,7,8,0
743,present,JJ,amod,8,6,0
744,",",",",punct,9,12,0
745,she,PRP,nsubj,10,12,0
746,can,MD,aux,11,12,0
747,contact,VB,root,12,-1,0
748,john,NNP,obj,13,12,0
749,doe,NNP,flat,14,13,0
750,and,CC,cc,15,18,0
751,they,PRP,nsubj,16,18,0
752,can,MD,aux,17,18,0
753,pay,VB,conj,18,12,0
754,him,PRP,iobj,19,18,0
755,big,JJ,amod,20,21,0
756,bucks,NNS,obj,21,18,0
757,to,TO,mark,22,23,0
758,do,VB,advcl,23,18,0
759,it,PRP,obj,24,23,0
760,in,IN,case,25,26,0
761,front,NN,obl,26,23,0
762,of,IN,case,27,28,0
763,both,DT,nmod,28,26,0
764,of,IN,case,29,30,0
765,them,PRP,nmod,30,28,1
766,i,PRP,nsubj,0,2,0
767,'ll,MD,aux,1,2,0
768,call,VB,root,2,-1,0
769,her,PRP,obj,3,2,0
770,",",",",punct,4,2,0
771,what,WP,parataxis,5,2,0
772,'s,VBZ,cop,6,5,0
773,her,PRP$,nmod:poss,7,8,0
774,number,NN,nsubj,8,5,0
775,?,.,punct,9,2,1
776,i,PRP,nsubj,0,1,0
777,called,VBD,root,1,-1,0
778,her,PRP,obj,2,1,0
779,",",",",punct,3,1,0
780,it,PRP,nsubj,4,7,0
781,'s,VBZ,cop,5,7,0
782,all,RB,advmod,6,7,0
783,good,JJ,parataxis,7,1,0
784,now,RB,advmod,8,7,1
785,ok,UH,discourse,0,1,0
786,thank,VB,root,1,-1,0
787,you,PRP,obj,2,1,0
788,sir,VB,xcomp,3,1,1
789,question,NN,root,0,-1,0
790,for,IN,case,1,2,0
791,ya,NNP,nmod,2,-10,0
792,sir,NN,advmod,3,-10,0
793,i,PRP,nsubj,4,8,0
794,am,VBP,cop,5,8,0
795,not,RB,advmod,6,8,0
796,100,CD,nummod,7,8,0
797,%,NN,parataxis,8,-10,0
798,sure,JJ,acl,9,8,0
799,on,IN,mark,10,13,0
800,how,WRB,advmod,11,13,0
801,to,TO,mark,12,13,0
802,make,VB,advcl,13,9,0
803,it,PRP,obj,14,13,0
804,look,VB,xcomp,15,13,0
805,nice,JJ,xcomp,16,15,0
806,i,PRP,nsubj,17,18,0
807,tried,VBD,parataxis,18,16,0
808,the,DT,det,19,21,0
809,premade,NN,compound,20,21,0
810,template,NN,obj,21,18,0
811,for,IN,case,22,24,0
812,the,DT,det,23,24,0
813,layouts,NNS,nmod,24,21,0
